Name,State,Notes,User,Tags,Created,Runtime,Sweep,batch_size,epochs,lr,parameters.epochs,parameters.lr,seed,parameters.seeds,program,epoch,test_mae,test_r,train_mae,train_r,val_mae,val_r
bs128-seed4,finished,-,,,2025-11-14T23:56:57.000Z,524,,128,10,0.00001,,,4,,,10,0.6211379965146380,0.6442606449127200,0.5036183722361830,0.7479028105735780,0.5692449042742900,0.6676136255264280
bs128-seed3,finished,-,,,2025-11-14T23:48:15.000Z,521,,128,10,0.00001,,,3,,,10,0.6101494970775790,0.6503087878227230,0.49797477872071900,0.7538092136383060,0.5593172244050290,0.6784182786941530
bs128-seed2,finished,-,,,2025-11-14T23:39:33.000Z,522,,128,10,0.00001,,,2,,,10,0.609900849206107,0.6522071957588200,0.496243135479396,0.7557063698768620,0.5746683437715880,0.6732497215271000
bs128-seed1,finished,-,,,2025-11-14T23:30:50.000Z,523,,128,10,0.00001,,,1,,,10,0.632175190108163,0.6280377507209780,0.5185044493503910,0.733122706413269,0.6005994840101760,0.6500842571258550
bs128-seed0,finished,-,,,2025-11-14T23:22:06.000Z,524,,128,10,0.00001,,,0,,,10,0.6246494948863980,0.6287639141082760,0.5205424047872690,0.729089617729187,0.5850808633999390,0.6575514674186710
bs64-seed4,finished,-,,,2025-11-14T23:12:38.000Z,567,,64,10,0.00001,,,4,,,10,0.5934288552621520,0.643445611000061,0.4726836497555240,0.7754414081573490,0.5748039186000820,0.6668734550476070
bs64-seed3,finished,-,,,2025-11-14T21:03:08.000Z,580,,64,10,0.00001,,,3,,,10,0.585843612508076,0.6494452953338620,0.4668275298115740,0.7826436161994930,0.5750100106693980,0.6733600497245790
bs64-seed2,finished,-,,,2025-11-14T20:53:35.000Z,573,,64,10,0.00001,,,2,,,10,0.586258045783857,0.6553704738616940,0.469001768056504,0.7793319225311280,0.5881132705267090,0.6647005081176760
bs64-seed1,finished,-,,,2025-11-14T20:44:04.000Z,571,,64,10,0.00001,,,1,,,10,0.6080526040821540,0.6328414678573610,0.4919070342700640,0.7578161954879760,0.5998360306717630,0.6488960981369020
bs64-seed0,finished,-,,,2025-11-14T20:34:27.000Z,577,,64,10,0.00001,,,0,,,10,0.5890577886162730,0.6360440254211430,0.48813877339491600,0.7604997754096990,0.5869188994862310,0.6547600626945500
bs32-seed4,finished,-,,,2025-11-14T20:23:27.000Z,660,,32,10,0.00001,,,4,,,10,0.5910022331447140,0.6424537897109990,0.44868417494668200,0.7974585294723510,0.5874431171837980,0.6615818738937380
bs32-seed3,finished,-,,,2025-11-14T20:12:28.000Z,658,,32,10,0.00001,,,3,,,10,0.5867263089592860,0.6518257856369020,0.43843256024097300,0.8047638535499570,0.5858104036134830,0.669781506061554
bs32-seed2,finished,-,,,2025-11-14T20:01:34.000Z,653,,32,10,0.00001,,,2,,,10,0.5828201127488440,0.6554685831069950,0.44137903075375200,0.803374171257019,0.5880615195807290,0.6634455919265750
bs32-seed1,finished,-,,,2025-11-14T19:50:44.000Z,650,,32,10,0.00001,,,1,,,10,0.6005760347697790,0.6378360390663150,0.4646945921871480,0.7828078269958500,0.6042349857442520,0.6466573476791380
bs32-seed0,finished,-,,,2025-11-14T19:39:44.000Z,660,,32,10,0.00001,,,0,,,10,0.5947143777114590,0.6336725950241090,0.4626197779250000,0.7830307483673100,0.5926879384938410,0.6549484729766850
bs16-seed4,finished,-,,,2025-11-14T19:25:51.000Z,833,,16,10,0.00001,,,4,,,10,0.5876962414548440,0.6454450488090520,0.4300904955358030,0.8118422031402590,0.5860589069903960,0.6619684100151060
bs16-seed3,finished,-,,,2025-11-14T19:12:02.000Z,828,,16,10,0.00001,,,3,,,10,0.5760093362419150,0.6502273082733150,0.42119315761827400,0.8210055232048040,0.5973484556703170,0.6595024466514590
bs16-seed2,finished,-,,,2025-11-14T18:58:04.000Z,838,,16,10,0.00001,,,2,,,10,0.5732225953984120,0.6595237255096440,0.41725942003959000,0.8246957063674930,0.5968735207467390,0.6574468612670900
bs16-seed1,finished,-,,,2025-11-14T18:39:17.000Z,1127,,16,10,0.00001,,,1,,,10,0.5897615566575450,0.6341864466667180,0.44719408005252900,0.7985806465148930,0.6041171205114330,0.6444183588027950
bs8-seed-4,finished,-,,,2025-11-14T17:39:20.000Z,1556,,8,10,0.00001,,,4,,,10,0.5830142321122210,0.6409395337104800,0.4171343703704060,0.8249001502990720,0.5958913663728300,0.6574898958206180
bs16-seed-0,finished,-,,,2025-11-14T16:34:59.000Z,1131,eat8ngqp,16,10,0.00001,,,0,,,10,0.5919993061778000,0.628081202507019,0.43842550881296200,0.8050076961517330,0.5930370214070090,0.6494097113609310
bs8-seed-3,finished,-,,,2025-11-14T07:42:46.000Z,1752,eat8ngqp,8,10,0.00001,,,3,,,10,0.5815459030903190,0.6478549242019650,0.411173167655211,0.8294041752815250,0.6031111588463940,0.6571939587593080
bs8-seed-2,finished,-,,,2025-11-14T07:14:51.000Z,1671,eat8ngqp,8,10,0.00001,,,2,,,10,0.580193676237314,0.643892765045166,0.40518736187089800,0.834688663482666,0.5933978010179030,0.6612696051597600
bs8-seed-1,finished,-,,,2025-11-14T06:47:20.000Z,1645,eat8ngqp,8,10,0.00001,,,1,,,10,0.5974686582304220,0.6260267496109010,0.4374580524365480,0.807388186454773,0.6103249323120460,0.6397435069084170
bs8-seed-0,finished,-,,,2025-11-14T06:20:15.000Z,1622,eat8ngqp,8,10,0.00001,,,0,,,10,0.5870139202091590,0.6320074200630190,0.4241461561278940,0.8169429302215580,0.5992662776206300,0.6429340243339540